"GISJOIN","FIPS","ADI_NATRANK","ADI_STATERNK"
"G17001900009021","170190009021","78","8"
"G17001900009022","170190009022","55","5"
"G17001900009023","170190009023","58","6"
"G17001900010001","170190010001","68","7"
"G17001900010002","170190010002","53","5"
"G17001900010003","170190010003","57","5"
"G17001900010004","170190010004","65","6"
"G17001900010005","170190010005","87","9"
"G17001900011001","170190011001","53","5"
"G17001900011002","170190011002","53","5"
"G17001900011003","170190011003","60","6"
"G17001900012011","170190012011","80","8"
"G17001900012012","170190012012","82","8"
"G17001900012013","170190012013","81","8"
"G17001900012014","170190012014","80","8"
"G17001900012015","170190012015","83","8"
"G17001900012031","170190012031","69","7"
"G17001900012032","170190012032","57","5"
"G17001900012033","170190012033","52","5"
"G17001900012041","170190012041","29","2"
"G17001900012051","170190012051","19","1"
"G17001900012052","170190012052","57","5"
"G17001900012061","170190012061","34","3"
"G17001900013011","170190013011","68","7"
"G17001900013012","170190013012","42","4"
"G17001900013013","170190013013","57","5"
"G17001900013014","170190013014","54","5"
"G17001900013015","170190013015","55","5"
"G17001900013021","170190013021","56","5"
"G17001900013022","170190013022","31","2"
"G17001900013023","170190013023","38","3"
"G17001900014001","170190014001","32","3"
"G17001900014002","170190014002","GQ-PH","GQ-PH"
"G17001900014003","170190014003","52","5"
"G17001900053001","170190053001","96","10"
"G17001900053002","170190053002","96","10"
"G17001900053003","170190053003","96","10"
"G17001900053004","170190053004","96","10"
"G17001900054011","170190054011","89","9"
"G17001900054012","170190054012","87","9"
"G17001900054013","170190054013","90","9"
"G17001900054021","170190054021","99","10"
"G17001900054022","170190054022","54","5"
"G17001900054023","170190054023","70","7"
"G17001900055001","170190055001","89","9"
"G17001900055002","170190055002","73","7"
"G17001900055003","170190055003","84","9"
"G17001900055004","170190055004","78","8"
"G17001900055005","170190055005","81","8"
"G17001900056011","170190056011","81","8"
"G17001900056012","170190056012","78","8"
"G17001900056013","170190056013","82","8"
"G17001900056014","170190056014","72","7"
"G17001900056015","170190056015","77","8"
"G17001900056021","170190056021","57","5"
"G17001900056022","170190056022","32","3"
"G17001900057011","170190057011","76","8"
"G17001900057012","170190057012","83","8"
"G17001900057013","170190057013","51","5"
"G17001900057014","170190057014","67","7"
"G17001900057021","170190057021","40","4"
"G17001900058001","170190058001","50","5"
"G17001900058002","170190058002","50","5"
"G17001900058003","170190058003","50","5"
"G17001900058004","170190058004","50","5"
"G17001900058005","170190058005","50","5"
"G17001900059011","170190059011","GQ","GQ"
"G17001900059021","170190059021","GQ","GQ"
"G17001900059022","170190059022","GQ","GQ"
"G17001900060001","170190060001","GQ-PH","GQ-PH"
"G17001900060002","170190060002","70","7"
"G17001900101001","170190101001","90","9"
"G17001900101002","170190101002","94","10"
"G17001900101003","170190101003","89","9"
"G17001900101004","170190101004","80","8"
"G17001900102041","170190102041","90","9"
"G17001900102042","170190102042","88","9"
"G17001900102043","170190102043","86","9"
"G17001900102044","170190102044","93","10"
"G17001900102045","170190102045","91","9"
"G17001900103001","170190103001","89","9"
"G17001900103002","170190103002","94","10"
"G17001900104001","170190104001","71","7"
"G17001900104002","170190104002","58","6"
"G17001900104003","170190104003","66","6"
"G17001900104004","170190104004","62","6"
"G17001900104005","170190104005","82","8"
"G17001900105001","170190105001","37","3"
"G17001900105002","170190105002","48","4"
"G17001900105003","170190105003","28","2"
"G17001900105004","170190105004","61","6"
"G17001900106011","170190106011","41","4"
"G17001900106012","170190106012","47","4"
"G17001900106013","170190106013","41","4"
"G17001900106031","170190106031","96","10"
"G17001900106032","170190106032","42","4"
"G17001900106033","170190106033","39","3"
"G17001900106034","170190106034","20","1"
"G17001900106041","170190106041","38","3"
"G17001900106042","170190106042","50","5"
"G17001900107011","170190107011","54","5"
"G17001900107012","170190107012","48","4"
"G17001900107013","170190107013","44","4"
"G17001900107021","170190107021","56","5"
"G17001900107022","170190107022","61","6"
"G17001900107023","170190107023","51","5"
"G17001900107024","170190107024","47","4"
"G17001900108001","170190108001","83","8"
"G17001900108002","170190108002","41","4"
"G17001900108003","170190108003","66","6"
"G17001900108004","170190108004","58","6"
"G17001900108005","170190108005","42","4"
"G17001900109011","170190109011","55","5"
"G17001900109012","170190109012","47","4"
"G17001900109013","170190109013","70","7"
"G17001900109014","170190109014","68","7"
"G17001900109015","170190109015","32","3"
"G17001900109016","170190109016","54","5"
"G17001900109017","170190109017","GQ-PH","GQ-PH"
"G17001900109021","170190109021","63","6"
"G17001900109022","170190109022","56","5"
"G17001900109023","170190109023","69","7"
"G17001900109024","170190109024","62","6"
"G17001900110011","170190110011","80","8"
"G17001900110012","170190110012","82","8"
"G17001900110013","170190110013","79","8"
"G17001900110021","170190110021","60","6"
"G17001900110022","170190110022","QDI","QDI"
"G17001900111001","170190111001","89","9"
"G17001900111002","170190111002","94","10"
"G17001900111003","170190111003","90","9"
"G17002109581001","170219581001","84","9"
"G17002109581002","170219581002","60","6"
"G17002109581003","170219581003","78","8"
"G17002109582001","170219582001","86","9"
"G17002109582002","170219582002","87","9"
"G17002109582003","170219582003","80","8"
"G17002109582004","170219582004","85","9"
"G17002109583001","170219583001","84","9"
"G17002109583002","170219583002","92","10"
"G17002109583003","170219583003","87","9"
"G17002109583004","170219583004","90","9"
"G17002109584001","170219584001","83","8"
"G17002109584002","170219584002","87","9"
"G17002109584003","170219584003","85","9"
"G17002109584004","170219584004","88","9"
"G17002109584005","170219584005","82","8"
"G17002109585001","170219585001","98","10"
"G17002109585002","170219585002","96","10"
"G17002109585003","170219585003","97","10"
"G17002109586001","170219586001","86","9"
"G17002109586002","170219586002","48","4"
"G17002109586003","170219586003","64","6"
"G17002109587001","170219587001","93","10"
"G17002109587002","170219587002","91","9"
"G17002109587003","170219587003","GQ","GQ"
"G17002109587004","170219587004","65","6"
"G17002109588001","170219588001","92","10"
"G17002109588002","170219588002","89","9"
"G17002109588003","170219588003","89","9"
"G17002109589001","170219589001","96","10"
"G17002109589002","170219589002","95","10"
"G17002109589003","170219589003","94","10"
"G17002109590001","170219590001","80","8"
"G17002109590002","170219590002","70","7"
"G17002109590003","170219590003","78","8"
"G17002109590004","170219590004","71","7"
"G17002109590005","170219590005","55","5"
"G17002300601001","170230601001","64","6"
"G17002300601002","170230601002","61","6"
"G17002300601003","170230601003","58","6"
"G17002300601004","170230601004","66","6"
"G17002300601005","170230601005","66","6"
"G17002300601006","170230601006","70","7"
"G17002300602001","170230602001","73","7"
"G17002300602002","170230602002","82","8"
"G17002300602003","170230602003","73","7"
"G17002300602004","170230602004","87","9"
"G17002300602005","170230602005","85","9"
"G17002300603001","170230603001","94","10"
"G17002300603002","170230603002","94","10"
"G17002300603003","170230603003","72","7"
"G17002300603004","170230603004","92","10"
"G17002300603005","170230603005","92","10"
"G17002300603006","170230603006","89","9"
"G17002300603007","170230603007","96","10"
"G17002300604001","170230604001","92","10"
"G17002300604002","170230604002","76","8"
"G17002509719001","170259719001","82","8"
"G17002509719002","170259719002","80","8"
"G17002509720001","170259720001","83","8"
"G17002509720002","170259720002","95","10"
"G17002509720003","170259720003","82","8"
"G17002509721001","170259721001","86","9"
"G17002509721002","170259721002","95","10"
"G17002509721003","170259721003","76","8"
"G17002509722001","170259722001","80","8"
"G17002509722002","170259722002","76","8"
"G17002709001001","170279001001","28","2"
"G17002709001002","170279001002","58","6"
"G17002709001003","170279001003","73","7"
"G17002709001004","170279001004","62","6"
"G17002709002001","170279002001","51","5"
"G17002709002002","170279002002","54","5"
"G17002709003001","170279003001","64","6"
"G17002709004011","170279004011","83","8"
"G17002709004031","170279004031","75","7"
"G17002709004032","170279004032","77","8"
"G17002709004033","170279004033","74","7"
"G17002709004034","170279004034","67","7"
"G17002709004035","170279004035","72","7"
"G17002709004041","170279004041","54","5"
"G17002709004042","170279004042","79","8"
"G17002709005001","170279005001","GQ","GQ"
"G17002709005002","170279005002","100","10"
"G17002709005003","170279005003","88","9"
"G17002709005004","170279005004","74","7"
"G17002709005005","170279005005","99","10"
"G17002709006011","170279006011","58","6"
"G17002709006012","170279006012","62","6"
"G17002709006021","170279006021","54","5"
"G17002709006022","170279006022","61","6"
"G17002709006023","170279006023","63","6"
"G17002709006024","170279006024","54","5"
"G17002709006025","170279006025","51","5"
"G17002900001001","170290001001","90","9"
"G17002900001002","170290001002","89","9"
"G17002900001003","170290001003","79","8"
"G17002900001004","170290001004","88","9"
"G17002900002001","170290002001","59","6"
"G17002900002002","170290002002","59","6"
"G17002900002003","170290002003","59","6"
"G17002900002004","170290002004","59","6"
"G17002900002005","170290002005","59","6"
"G17002900003001","170290003001","96","10"
"G17002900003002","170290003002","90","9"
"G17002900003003","170290003003","93","10"
"G17002900003004","170290003004","89","9"
"G17002900003005","170290003005","83","8"
"G17002900004001","170290004001","98","10"
"G17002900004002","170290004002","98","10"
"G17002900004003","170290004003","99","10"
"G17002900005001","170290005001","93","10"
"G17002900005002","170290005002","93","10"
"G17002900005003","170290005003","93","10"
"G17002900005004","170290005004","93","10"
"G17002900005005","170290005005","93","10"
"G17002900005006","170290005006","93","10"
"G17002900006001","170290006001","69","7"
"G17002900006002","170290006002","66","6"
"G17002900006003","170290006003","72","7"
"G17002900006004","170290006004","87","9"
"G17002900007011","170290007011","59","6"
"G17002900007012","170290007012","80","8"
"G17002900007021","170290007021","90","9"
"G17002900007022","170290007022","88","9"
"G17002900007023","170290007023","87","9"
"G17002900008001","170290008001","GQ","GQ"
"G17002900008002","170290008002","GQ","GQ"
"G17002900008003","170290008003","GQ","GQ"
"G17002900009001","170290009001","59","6"
"G17002900009002","170290009002","59","6"
"G17002900009003","170290009003","56","5"
"G17002900010001","170290010001","93","10"
"G17002900010002","170290010002","66","6"
"G17002900010003","170290010003","98","10"
"G17002900011001","170290011001","95","10"
"G17002900011002","170290011002","90","9"
"G17002900011003","170290011003","86","9"
"G17002900012001","170290012001","87","9"
"G17002900012002","170290012002","96","10"
"G17002900012003","170290012003","80","8"
"G17003100101001","170310101001","42","4"
"G17003100101002","170310101002","47","4"
"G17003100101003","170310101003","49","4"
"G17003100102011","170310102011","62","6"
"G17003100102012","170310102012","29","2"
"G17003100102013","170310102013","73","7"
"G17003100102014","170310102014","84","9"
"G17003100102021","170310102021","73","7"
"G17003100102022","170310102022","63","6"
"G17003100103001","170310103001","52","5"
"G17003100103002","170310103002","51","5"
"G17003100103003","170310103003","44","4"
"G17003100103004","170310103004","52","5"
"G17003100104001","170310104001","46","4"
"G17003100104002","170310104002","74","7"
"G17003100104003","170310104003","GQ","GQ"
"G17003100105011","170310105011","64","6"
"G17003100105012","170310105012","42","4"
"G17003100105013","170310105013","35","3"
"G17003100105021","170310105021","54","5"
"G17003100105022","170310105022","51","5"
"G17003100105031","170310105031","30","2"
"G17003100105032","170310105032","57","5"
"G17003100106001","170310106001","46","4"
"G17003100106002","170310106002","46","4"
"G17003100106003","170310106003","51","5"
"G17003100106004","170310106004","54","5"
"G17003100107011","170310107011","30","2"
"G17003100107012","170310107012","35","3"
"G17003100107021","170310107021","67","7"
"G17003100107022","170310107022","68","7"
"G17003100107023","170310107023","67","7"
"G17003100107024","170310107024","67","7"
"G17003100201001","170310201001","51","5"
"G17003100201002","170310201002","68","7"
"G17003100202001","170310202001","24","2"
"G17003100202002","170310202002","21","2"
"G17003100202003","170310202003","23","2"
"G17003100202004","170310202004","30","2"
"G17003100203011","170310203011","66","6"
"G17003100203012","170310203012","65","6"
"G17003100203013","170310203013","20","1"
"G17003100203021","170310203021","32","3"
"G17003100203022","170310203022","27","2"
"G17003100203023","170310203023","33","3"
"G17003100204001","170310204001","39","3"
"G17003100204002","170310204002","37","3"
"G17003100204003","170310204003","46","4"
"G17003100205001","170310205001","74","7"
"G17003100205002","170310205002","63","6"
"G17003100205003","170310205003","76","8"
"G17003100205004","170310205004","65","6"
"G17003100206011","170310206011","24","2"
"G17003100206012","170310206012","47","4"
"G17003100206013","170310206013","62","6"
"G17003100206021","170310206021","27","2"
"G17003100206022","170310206022","23","2"
"G17003100206023","170310206023","24","2"
"G17003100206024","170310206024","22","2"
"G17003100207011","170310207011","22","2"
"G17003100207012","170310207012","23","2"
"G17003100207021","170310207021","69","7"
"G17003100207022","170310207022","67","7"
"G17003100207023","170310207023","65","6"
"G17003100207024","170310207024","61","6"
"G17003100208011","170310208011","29","2"
"G17003100208012","170310208012","24","2"
"G17003100208013","170310208013","32","3"
"G17003100208014","170310208014","34","3"
"G17003100208021","170310208021","29","2"
"G17003100208022","170310208022","32","3"
"G17003100208023","170310208023","44","4"
"G17003100208024","170310208024","57","5"
"G17003100209011","170310209011","67","7"
"G17003100209012","170310209012","68","7"
"G17003100209013","170310209013","61","6"
"G17003100209021","170310209021","89","9"
"G17003100209022","170310209022","86","9"
"G17003100301011","170310301011","58","6"
"G17003100301012","170310301012","61","6"
"G17003100301013","170310301013","58","6"
"G17003100301014","170310301014","44","4"
"G17003100301021","170310301021","54","5"
"G17003100301022","170310301022","59","6"
"G17003100301023","170310301023","54","5"
"G17003100301031","170310301031","GQ","GQ"
"G17003100301032","170310301032","76","8"
"G17003100301041","170310301041","GQ","GQ"
"G17003100301042","170310301042","79","8"
"G17003100302001","170310302001","28","2"
"G17003100302002","170310302002","30","2"
"G17003100302003","170310302003","11","1"
"G17003100302004","170310302004","32","3"
"G17003100303001","170310303001","37","3"
"G17003100303002","170310303002","29","2"
"G17003100304001","170310304001","28","2"
"G17003100304002","170310304002","18","1"
"G17003100305001","170310305001","30","2"
"G17003100305002","170310305002","31","2"
"G17003100305003","170310305003","31","2"
"G17003100305004","170310305004","33","3"
"G17003100306011","170310306011","46","4"
"G17003100306012","170310306012","46","4"
"G17003100306013","170310306013","46","4"
"G17003100306031","170310306031","45","4"
"G17003100306032","170310306032","46","4"
"G17003100306041","170310306041","57","5"
"G17003100306042","170310306042","47","4"
"G17003100306043","170310306043","71","7"
"G17003100307011","170310307011","58","6"
"G17003100307021","170310307021","61","6"
"G17003100307022","170310307022","63","6"
"G17003100307031","170310307031","51","5"
"G17003100307032","170310307032","52","5"
"G17003100307033","170310307033","51","5"
"G17003100307061","170310307061","35","3"
"G17003100307062","170310307062","29","2"
"G17003100308001","170310308001","20","1"
"G17003100308002","170310308002","17","1"
"G17003100308003","170310308003","17","1"
"G17003100308004","170310308004","17","1"
"G17003100309001","170310309001","24","2"
"G17003100309002","170310309002","23","2"
"G17003100309003","170310309003","26","2"
"G17003100309004","170310309004","27","2"
"G17003100310001","170310310001","14","1"
"G17003100310002","170310310002","24","2"
"G17003100310003","170310310003","34","3"
"G17003100311001","170310311001","28","2"
"G17003100311002","170310311002","31","3"
"G17003100311003","170310311003","31","3"
"G17003100312001","170310312001","54","5"
"G17003100312002","170310312002","55","5"
"G17003100312003","170310312003","55","5"
"G17003100312004","170310312004","55","5"
"G17003100313001","170310313001","54","5"
"G17003100313002","170310313002","49","4"
"G17003100313003","170310313003","47","4"
"G17003100313004","170310313004","49","4"
"G17003100313005","170310313005","49","4"
"G17003100314001","170310314001","56","5"
"G17003100314002","170310314002","35","3"
"G17003100314003","170310314003","40","4"
"G17003100314004","170310314004","37","3"
"G17003100314005","170310314005","47","4"
"G17003100315011","170310315011","39","3"
"G17003100315012","170310315012","36","3"
"G17003100315013","170310315013","36","3"
"G17003100315021","170310315021","49","4"
"G17003100315022","170310315022","51","5"
"G17003100315023","170310315023","56","5"
"G17003100317001","170310317001","27","2"
"G17003100317002","170310317002","26","2"
"G17003100317003","170310317003","32","3"
"G17003100317004","170310317004","35","3"
"G17003100318001","170310318001","27","2"
"G17003100319001","170310319001","36","3"
"G17003100319002","170310319002","28","2"
"G17003100321001","170310321001","38","3"
"G17003100321002","170310321002","38","3"
"G17003100321003","170310321003","38","3"
"G17003100321004","170310321004","46","4"
"G17003100321005","170310321005","35","3"
"G17003100401001","170310401001","13","1"
"G17003100401002","170310401002","30","2"
"G17003100401003","170310401003","16","1"
"G17003100402011","170310402011","24","2"
"G17003100402012","170310402012","29","2"
"G17003100402013","170310402013","26","2"
"G17003100402014","170310402014","24","2"
"G17003100402021","170310402021","37","3"
"G17003100402022","170310402022","53","5"
"G17003100402023","170310402023","51","5"
"G17003100402024","170310402024","60","6"
"G17003100403001","170310403001","18","1"
"G17003100403002","170310403002","57","5"
"G17003100403003","170310403003","21","2"
"G17003100404011","170310404011","16","1"
"G17003100404012","170310404012","13","1"
"G17003100404013","170310404013","24","2"
"G17003100404014","170310404014","14","1"
"G17003100404021","170310404021","24","2"
"G17003100404022","170310404022","22","2"
"G17003100404023","170310404023","22","2"
"G17003100404024","170310404024","24","2"
"G17003100404025","170310404025","22","2"
"G17003100406001","170310406001","5","1"
"G17003100406002","170310406002","14","1"
"G17003100406003","170310406003","7","1"
"G17003100407001","170310407001","28","2"
"G17003100407002","170310407002","21","2"
"G17003100407003","170310407003","23","2"
"G17003100407004","170310407004","27","2"
"G17003100408001","170310408001","18","1"
"G17003100408002","170310408002","17","1"
"G17003100409001","170310409001","11","1"
"G17003100409002","170310409002","36","3"
"G17003100501001","170310501001","8","1"
"G17003100501002","170310501002","7","1"
"G17003100502001","170310502001","7","1"
"G17003100502002","170310502002","8","1"
"G17003100502003","170310502003","9","1"
"G17003100503001","170310503001","9","1"
"G17003100503002","170310503002","6","1"
"G17003100503003","170310503003","7","1"
"G17003100505001","170310505001","8","1"
"G17003100505002","170310505002","5","1"
"G17003100505003","170310505003","7","1"
"G17003100505004","170310505004","10","1"
"G17003100505005","170310505005","7","1"
"G17003100506001","170310506001","18","1"
"G17003100506002","170310506002","8","1"
"G17003100507001","170310507001","12","1"
"G17003100508001","170310508001","5","1"
"G17003100509001","170310509001","9","1"
"G17003100510001","170310510001","11","1"
"G17003100511001","170310511001","7","1"
"G17003100512001","170310512001","4","1"
"G17003100512002","170310512002","5","1"
"G17003100513001","170310513001","4","1"
"G17003100513002","170310513002","8","1"
"G17003100514001","170310514001","10","1"
"G17003100514002","170310514002","23","2"
"G17003100601001","170310601001","5","1"
"G17003100601002","170310601002","12","1"
"G17003100601003","170310601003","23","2"
"G17003100602001","170310602001","18","1"
"G17003100602002","170310602002","17","1"
"G17003100603001","170310603001","8","1"
"G17003100603002","170310603002","10","1"
"G17003100604001","170310604001","10","1"
"G17003100604002","170310604002","6","1"
"G17003100604003","170310604003","10","1"
"G17003100605001","170310605001","8","1"
"G17003100608001","170310608001","35","3"
"G17003100608002","170310608002","PH","PH"
"G17003100608003","170310608003","59","6"
"G17003100608004","170310608004","42","4"
"G17003100609001","170310609001","46","4"
"G17003100609002","170310609002","PH","PH"
"G17003100609003","170310609003","50","5"
"G17003100609004","170310609004","56","5"
"G17003100609005","170310609005","52","5"
"G17003100609006","170310609006","43","4"
"G17003100610001","170310610001","16","1"
"G17003100611001","170310611001","16","1"
"G17003100612001","170310612001","7","1"
"G17003100615001","170310615001","10","1"
"G17003100618001","170310618001","27","2"
"G17003100619011","170310619011","33","3"
"G17003100619012","170310619012","33","3"
"G17003100619013","170310619013","33","3"
"G17003100619014","170310619014","33","3"
"G17003100619021","170310619021","25","2"
"G17003100619022","170310619022","20","1"
"G17003100619023","170310619023","23","2"
"G17003100619024","170310619024","PH","PH"
"G17003100620001","170310620001","18","1"
"G17003100620002","170310620002","35","3"
"G17003100621001","170310621001","15","1"
"G17003100621002","170310621002","21","2"
"G17003100621003","170310621003","19","1"
"G17003100622001","170310622001","9","1"
"G17003100622002","170310622002","9","1"
"G17003100623001","170310623001","4","1"
"G17003100624001","170310624001","9","1"
"G17003100625001","170310625001","12","1"
"G17003100626001","170310626001","5","1"
"G17003100627001","170310627001","7","1"
"G17003100627002","170310627002","7","1"
"G17003100627003","170310627003","10","1"
