"","GISJOIN","FIPS","ADI_NATRANK","ADI_STATERNK"
"1","G01000100201001","010010201001","71","4"
"2","G01000100201002","010010201002","79","5"
"3","G01000100202001","010010202001","87","7"
"4","G01000100202002","010010202002","84","6"
"5","G01000100203001","010010203001","76","5"
"6","G01000100203002","010010203002","87","7"
"7","G01000100204001","010010204001","60","3"
"8","G01000100204002","010010204002","66","4"
"9","G01000100204003","010010204003","79","5"
"10","G01000100204004","010010204004","78","5"
"11","G01000100205011","010010205011","65","4"
"12","G01000100205012","010010205012","66","4"
"13","G01000100205021","010010205021","66","4"
"14","G01000100205022","010010205022","55","2"
"15","G01000100205031","010010205031","54","2"
"16","G01000100205032","010010205032","54","2"
"17","G01000100205033","010010205033","45","2"
"18","G01000100206001","010010206001","100","10"
"19","G01000100206002","010010206002","82","6"
"20","G01000100206003","010010206003","43","2"
"21","G01000100207001","010010207001","90","8"
"22","G01000100207002","010010207002","96","9"
"23","G01000100207003","010010207003","90","8"
"24","G01000100208011","010010208011","50","2"
"25","G01000100208012","010010208012","25","1"
"26","G01000100208013","010010208013","43","2"
"27","G01000100208031","010010208031","68","4"
"28","G01000100208032","010010208032","87","7"
"29","G01000100208033","010010208033","72","4"
"30","G01000100208034","010010208034","90","8"
"31","G01000100208041","010010208041","49","2"
"32","G01000100208042","010010208042","35","1"
"33","G01000100208051","010010208051","58","3"
"34","G01000100208052","010010208052","58","3"
"35","G01000100209011","010010209011","63","3"
"36","G01000100209012","010010209012","53","2"
"37","G01000100209021","010010209021","73","5"
"38","G01000100209022","010010209022","69","4"
"39","G01000100210001","010010210001","84","6"
"40","G01000100210002","010010210002","84","6"
"41","G01000100210003","010010210003","84","6"
"42","G01000100211001","010010211001","94","9"
"43","G01000100211002","010010211002","95","9"
"44","G01000100211003","010010211003","93","8"
"45","G01000100211004","010010211004","90","8"
"46","G01000300101001","010030101001","81","6"
"47","G01000300101002","010030101002","76","5"
"48","G01000300101003","010030101003","80","6"
"49","G01000300102001","010030102001","74","5"
"50","G01000300102002","010030102002","64","3"
"51","G01000300103001","010030103001","66","4"
"52","G01000300103002","010030103002","63","3"
"53","G01000300103003","010030103003","68","4"
"54","G01000300103004","010030103004","68","4"
"55","G01000300103005","010030103005","76","5"
"56","G01000300104001","010030104001","37","1"
"57","G01000300104002","010030104002","78","5"
"58","G01000300104003","010030104003","78","5"
"59","G01000300105001","010030105001","80","6"
"60","G01000300105002","010030105002","73","5"
"61","G01000300105003","010030105003","57","3"
"62","G01000300105004","010030105004","87","7"
"63","G01000300106001","010030106001","97","9"
"64","G01000300106002","010030106002","97","9"
"65","G01000300106003","010030106003","97","9"
"66","G01000300107041","010030107041","55","2"
"67","G01000300107042","010030107042","55","2"
"68","G01000300107061","010030107061","44","2"
"69","G01000300107062","010030107062","26","1"
"70","G01000300107071","010030107071","44","2"
"71","G01000300107072","010030107072","45","2"
"72","G01000300107073","010030107073","39","1"
"73","G01000300107081","010030107081","45","2"
"74","G01000300107082","010030107082","36","1"
"75","G01000300107083","010030107083","51","2"
"76","G01000300107084","010030107084","41","1"
"77","G01000300107091","010030107091","30","1"
"78","G01000300107092","010030107092","33","1"
"79","G01000300107093","010030107093","30","1"
"80","G01000300107101","010030107101","57","3"
"81","G01000300107102","010030107102","32","1"
"82","G01000300107103","010030107103","44","2"
"83","G01000300107111","010030107111","60","3"
"84","G01000300107112","010030107112","60","3"
"85","G01000300108001","010030108001","28","1"
"86","G01000300108002","010030108002","27","1"
"87","G01000300108003","010030108003","28","1"
"88","G01000300109031","010030109031","65","4"
"89","G01000300109032","010030109032","61","3"
"90","G01000300109033","010030109033","54","2"
"91","G01000300109041","010030109041","51","2"
"92","G01000300109042","010030109042","70","4"
"93","G01000300109043","010030109043","55","2"
"94","G01000300109061","010030109061","82","6"
"95","G01000300109062","010030109062","82","6"
"96","G01000300109063","010030109063","60","3"
"97","G01000300109071","010030109071","64","3"
"98","G01000300109072","010030109072","48","2"
"99","G01000300109081","010030109081","55","2"
"100","G01000300109082","010030109082","60","3"
"101","G01000300110001","010030110001","59","3"
"102","G01000300110002","010030110002","67","4"
"103","G01000300111021","010030111021","33","1"
"104","G01000300111022","010030111022","33","1"
"105","G01000300111031","010030111031","47","2"
"106","G01000300111041","010030111041","56","3"
"107","G01000300111042","010030111042","40","1"
"108","G01000300111043","010030111043","39","1"
"109","G01000300112011","010030112011","34","1"
"110","G01000300112012","010030112012","25","1"
"111","G01000300112021","010030112021","30","1"
"112","G01000300112022","010030112022","25","1"
"113","G01000300112023","010030112023","24","1"
"114","G01000300112024","010030112024","24","1"
"115","G01000300113001","010030113001","6","1"
"116","G01000300113002","010030113002","52","2"
"117","G01000300113003","010030113003","45","2"
"118","G01000300113004","010030113004","19","1"
"119","G01000300114091","010030114091","42","1"
"120","G01000300114092","010030114092","54","2"
"121","G01000300114093","010030114093","51","2"
"122","G01000300114101","010030114101","71","4"
"123","G01000300114102","010030114102","47","2"
"124","G01000300114103","010030114103","48","2"
"125","G01000300114104","010030114104","47","2"
"126","G01000300114111","010030114111","65","4"
"127","G01000300114112","010030114112","44","2"
"128","G01000300114121","010030114121","18","1"
"129","G01000300114122","010030114122","46","2"
"130","G01000300114131","010030114131","52","2"
"131","G01000300114132","010030114132","40","1"
"132","G01000300114133","010030114133","20","1"
"133","G01000300114141","010030114141","13","1"
"134","G01000300114142","010030114142","32","1"
"135","G01000300114151","010030114151","9","1"
"136","G01000300114161","010030114161","41","1"
"137","G01000300114171","010030114171","49","2"
"138","G01000300114172","010030114172","28","1"
"139","G01000300114181","010030114181","63","3"
"140","G01000300114182","010030114182","36","1"
"141","G01000300114191","010030114191","41","1"
"142","G01000300114192","010030114192","45","2"
"143","G01000300114193","010030114193","38","1"
"144","G01000300114194","010030114194","26","1"
"145","G01000300115011","010030115011","58","3"
"146","G01000300115012","010030115012","62","3"
"147","G01000300115013","010030115013","62","3"
"148","G01000300115031","010030115031","55","2"
"149","G01000300115032","010030115032","65","4"
"150","G01000300115033","010030115033","59","3"
"151","G01000300115034","010030115034","58","3"
"152","G01000300115041","010030115041","54","2"
"153","G01000300115042","010030115042","50","2"
"154","G01000300115043","010030115043","50","2"
"155","G01000300116011","010030116011","66","4"
"156","G01000300116012","010030116012","69","4"
"157","G01000300116013","010030116013","46","2"
"158","G01000300116014","010030116014","56","3"
"159","G01000300116031","010030116031","67","4"
"160","G01000300116032","010030116032","64","3"
"161","G01000300116041","010030116041","52","2"
"162","G01000300116042","010030116042","72","4"
"163","G01000309900000","010039900000","PH","PH"
"164","G01000509501001","010059501001","83","6"
"165","G01000509501002","010059501002","95","9"
"166","G01000509502001","010059502001","98","10"
"167","G01000509502002","010059502002","GQ","GQ"
"168","G01000509502003","010059502003","93","9"
"169","G01000509503001","010059503001","71","4"
"170","G01000509503002","010059503002","97","9"
"171","G01000509504001","010059504001","94","9"
"172","G01000509504002","010059504002","GQ","GQ"
"173","G01000509504003","010059504003","99","10"
"174","G01000509505001","010059505001","88","7"
"175","G01000509505002","010059505002","90","8"
"176","G01000509505003","010059505003","94","9"
"177","G01000509506001","010059506001","96","9"
"178","G01000509506002","010059506002","96","9"
"179","G01000509507001","010059507001","85","7"
"180","G01000509507002","010059507002","87","7"
"181","G01000509508001","010059508001","87","7"
"182","G01000509508002","010059508002","82","6"
"183","G01000509509001","010059509001","80","6"
"184","G01000509509002","010059509002","90","8"
"185","G01000509509003","010059509003","92","8"
"186","G01000700100011","010070100011","83","6"
"187","G01000700100012","010070100012","96","9"
"188","G01000700100051","010070100051","62","3"
"189","G01000700100052","010070100052","94","9"
"190","G01000700100053","010070100053","73","5"
"191","G01000700100061","010070100061","69","4"
"192","G01000700100062","010070100062","70","4"
"193","G01000700100071","010070100071","85","7"
"194","G01000700100072","010070100072","86","7"
"195","G01000700100081","010070100081","87","7"
"196","G01000700100082","010070100082","86","7"
"197","G01000700100091","010070100091","96","9"
"198","G01000700100092","010070100092","GQ","GQ"
"199","G01000700100093","010070100093","96","9"
"200","G01000700100101","010070100101","74","5"
"201","G01000700100102","010070100102","70","4"
"202","G01000700100111","010070100111","94","9"
"203","G01000700100112","010070100112","GQ","GQ"
"204","G01000900501031","010090501031","75","5"
"205","G01000900501041","010090501041","61","3"
"206","G01000900501042","010090501042","87","7"
"207","G01000900501051","010090501051","66","4"
"208","G01000900501052","010090501052","66","4"
"209","G01000900501053","010090501053","68","4"
"210","G01000900501054","010090501054","67","4"
"211","G01000900501061","010090501061","94","9"
"212","G01000900501062","010090501062","71","4"
"213","G01000900501071","010090501071","92","8"
"214","G01000900501072","010090501072","64","3"
"215","G01000900502001","010090502001","77","5"
"216","G01000900502002","010090502002","77","5"
"217","G01000900503011","010090503011","79","5"
"218","G01000900503012","010090503012","73","5"
"219","G01000900503021","010090503021","90","8"
"220","G01000900503022","010090503022","85","7"
"221","G01000900504001","010090504001","73","5"
"222","G01000900504002","010090504002","79","5"
"223","G01000900504003","010090504003","82","6"
"224","G01000900504004","010090504004","77","5"
"225","G01000900505011","010090505011","85","7"
"226","G01000900505012","010090505012","86","7"
"227","G01000900505013","010090505013","90","8"
"228","G01000900505021","010090505021","71","4"
"229","G01000900505022","010090505022","68","4"
"230","G01000900505023","010090505023","76","5"
"231","G01000900506011","010090506011","79","6"
"232","G01000900506012","010090506012","81","6"
"233","G01000900506013","010090506013","66","4"
"234","G01000900506031","010090506031","60","3"
"235","G01000900506032","010090506032","52","2"
"236","G01000900506033","010090506033","54","2"
"237","G01000900506041","010090506041","75","5"
"238","G01000900506042","010090506042","68","4"
"239","G01000900506043","010090506043","50","2"
"240","G01000900506044","010090506044","60","3"
"241","G01000900507011","010090507011","86","7"
"242","G01000900507012","010090507012","74","5"
"243","G01000900507013","010090507013","72","4"
"244","G01000900507014","010090507014","71","4"
"245","G01000900507021","010090507021","91","8"
"246","G01000900507022","010090507022","83","6"
"247","G01001109521001","010119521001","91","8"
"248","G01001109522011","010119522011","99","10"
"249","G01001109522012","010119522012","99","10"
"250","G01001109522021","010119522021","99","10"
"251","G01001109522022","010119522022","99","10"
"252","G01001109522023","010119522023","GQ","GQ"
"253","G01001109525001","010119525001","95","9"
"254","G01001109525002","010119525002","95","9"
"255","G01001109525003","010119525003","95","9"
"256","G01001309527001","010139527001","87","7"
"257","G01001309527002","010139527002","83","6"
"258","G01001309528001","010139528001","77","5"
"259","G01001309529001","010139529001","75","5"
"260","G01001309529002","010139529002","90","8"
"261","G01001309530001","010139530001","92","8"
"262","G01001309530002","010139530002","95","9"
"263","G01001309531001","010139531001","100","10"
"264","G01001309531002","010139531002","99","10"
"265","G01001309531003","010139531003","95","9"
"266","G01001309532001","010139532001","89","8"
"267","G01001309532002","010139532002","95","9"
"268","G01001309532003","010139532003","88","7"
"269","G01001309532004","010139532004","75","5"
"270","G01001309533001","010139533001","88","7"
"271","G01001309533002","010139533002","91","8"
"272","G01001309534001","010139534001","100","10"
"273","G01001309534002","010139534002","91","8"
"274","G01001309535001","010139535001","94","9"
"275","G01001500002001","010150002001","99","10"
"276","G01001500002002","010150002002","98","10"
"277","G01001500003001","010150003001","100","10"
"278","G01001500003002","010150003002","100","10"
"279","G01001500004001","010150004001","96","9"
"280","G01001500004002","010150004002","96","9"
"281","G01001500004003","010150004003","100","10"
"282","G01001500005001","010150005001","100","10"
"283","G01001500005002","010150005002","100","10"
"284","G01001500006001","010150006001","GQ","GQ"
"285","G01001500006002","010150006002","96","9"
"286","G01001500007001","010150007001","94","9"
"287","G01001500007002","010150007002","93","9"
"288","G01001500007003","010150007003","66","4"
"289","G01001500007004","010150007004","PH","PH"
"290","G01001500008001","010150008001","GQ","GQ"
"291","G01001500009001","010150009001","62","3"
"292","G01001500009002","010150009002","55","2"
"293","G01001500009003","010150009003","55","2"
"294","G01001500010001","010150010001","62","3"
"295","G01001500010002","010150010002","71","4"
"296","G01001500010003","010150010003","65","4"
"297","G01001500010004","010150010004","71","4"
"298","G01001500011011","010150011011","59","3"
"299","G01001500011012","010150011012","44","2"
"300","G01001500011021","010150011021","85","7"
"301","G01001500011022","010150011022","84","6"
"302","G01001500011031","010150011031","76","5"
"303","G01001500011032","010150011032","70","4"
"304","G01001500011033","010150011033","81","6"
"305","G01001500012011","010150012011","81","6"
"306","G01001500012012","010150012012","82","6"
"307","G01001500012013","010150012013","84","6"
"308","G01001500012021","010150012021","74","5"
"309","G01001500012022","010150012022","87","7"
"310","G01001500012023","010150012023","82","6"
"311","G01001500013001","010150013001","96","9"
"312","G01001500013002","010150013002","87","7"
"313","G01001500014001","010150014001","95","9"
"314","G01001500014002","010150014002","95","9"
"315","G01001500014003","010150014003","95","9"
"316","G01001500014004","010150014004","95","9"
"317","G01001500015011","010150015011","91","8"
"318","G01001500015012","010150015012","86","7"
"319","G01001500015013","010150015013","86","7"
"320","G01001500015021","010150015021","68","4"
"321","G01001500015022","010150015022","91","8"
"322","G01001500016001","010150016001","96","9"
"323","G01001500016002","010150016002","96","9"
"324","G01001500016003","010150016003","96","9"
"325","G01001500016004","010150016004","96","9"
"326","G01001500017001","010150017001","85","7"
"327","G01001500017002","010150017002","63","3"
"328","G01001500017003","010150017003","93","9"
"329","G01001500017004","010150017004","91","8"
"330","G01001500018011","010150018011","81","6"
"331","G01001500018012","010150018012","81","6"
"332","G01001500018021","010150018021","68","4"
"333","G01001500018022","010150018022","84","6"
"334","G01001500018023","010150018023","74","5"
"335","G01001500018024","010150018024","86","7"
"336","G01001500020011","010150020011","64","3"
"337","G01001500020012","010150020012","65","4"
"338","G01001500020021","010150020021","52","2"
"339","G01001500020022","010150020022","70","4"
"340","G01001500020023","010150020023","75","5"
"341","G01001500021011","010150021011","GQ","GQ"
"342","G01001500021012","010150021012","96","9"
"343","G01001500021013","010150021013","96","9"
"344","G01001500021014","010150021014","GQ","GQ"
"345","G01001500021021","010150021021","70","4"
"346","G01001500021022","010150021022","80","6"
"347","G01001500021023","010150021023","66","4"
"348","G01001500021041","010150021041","79","6"
"349","G01001500021042","010150021042","86","7"
"350","G01001500021043","010150021043","77","5"
"351","G01001500021051","010150021051","84","6"
"352","G01001500021052","010150021052","85","7"
"353","G01001500022001","010150022001","84","6"
"354","G01001500022002","010150022002","90","8"
"355","G01001500022003","010150022003","93","9"
"356","G01001500022004","010150022004","93","9"
"357","G01001500023001","010150023001","81","6"
"358","G01001500023002","010150023002","90","8"
"359","G01001500023003","010150023003","95","9"
"360","G01001500023004","010150023004","96","9"
"361","G01001500024001","010150024001","87","7"
"362","G01001500024002","010150024002","80","6"
"363","G01001500024003","010150024003","84","6"
"364","G01001500025021","010150025021","78","5"
"365","G01001500025022","010150025022","55","2"
"366","G01001500025023","010150025023","85","7"
"367","G01001500025024","010150025024","80","6"
"368","G01001500025025","010150025025","81","6"
"369","G01001500025031","010150025031","74","5"
"370","G01001500025032","010150025032","76","5"
"371","G01001500025033","010150025033","67","4"
"372","G01001500025041","010150025041","83","6"
"373","G01001500025042","010150025042","84","6"
"374","G01001500025043","010150025043","60","3"
"375","G01001500026001","010150026001","71","4"
"376","G01001500026002","010150026002","72","4"
"377","G01001500026003","010150026003","74","5"
"378","G01001500026004","010150026004","76","5"
"379","G01001509819011","010159819011","PH","PH"
"380","G01001509819021","010159819021","PH","PH"
"381","G01001509819031","010159819031","PH","PH"
"382","G01001709538001","010179538001","80","6"
"383","G01001709538002","010179538002","78","5"
"384","G01001709538003","010179538003","77","5"
"385","G01001709539001","010179539001","76","5"
"386","G01001709539002","010179539002","76","5"
"387","G01001709539003","010179539003","87","7"
"388","G01001709540011","010179540011","84","6"
"389","G01001709540012","010179540012","80","6"
"390","G01001709540021","010179540021","86","7"
"391","G01001709540022","010179540022","87","7"
"392","G01001709540023","010179540023","88","7"
"393","G01001709540024","010179540024","87","7"
"394","G01001709542001","010179542001","93","9"
"395","G01001709542002","010179542002","81","6"
"396","G01001709543001","010179543001","83","6"
"397","G01001709543002","010179543002","83","6"
"398","G01001709543003","010179543003","83","6"
"399","G01001709543004","010179543004","84","6"
"400","G01001709546001","010179546001","84","6"
"401","G01001709546002","010179546002","90","8"
"402","G01001709546003","010179546003","89","8"
"403","G01001709547001","010179547001","82","6"
"404","G01001709547002","010179547002","76","5"
"405","G01001709547003","010179547003","91","8"
"406","G01001709547004","010179547004","66","4"
"407","G01001709548001","010179548001","94","9"
"408","G01001709548002","010179548002","94","9"
"409","G01001709548003","010179548003","94","9"
"410","G01001709548004","010179548004","94","9"
"411","G01001709548005","010179548005","94","9"
"412","G01001909557011","010199557011","74","5"
"413","G01001909557012","010199557012","76","5"
"414","G01001909557013","010199557013","69","4"
"415","G01001909557021","010199557021","91","8"
"416","G01001909557022","010199557022","87","7"
"417","G01001909557023","010199557023","89","8"
"418","G01001909558011","010199558011","88","7"
"419","G01001909558012","010199558012","84","6"
"420","G01001909558021","010199558021","70","4"
"421","G01001909558022","010199558022","69","4"
"422","G01001909558023","010199558023","75","5"
"423","G01001909559001","010199559001","69","4"
"424","G01001909559002","010199559002","72","4"
"425","G01001909559003","010199559003","67","4"
"426","G01001909559004","010199559004","70","4"
"427","G01001909560001","010199560001","73","5"
"428","G01001909560002","010199560002","72","4"
"429","G01001909560003","010199560003","71","4"
"430","G01001909560004","010199560004","71","4"
"431","G01001909560005","010199560005","70","4"
"432","G01001909561011","010199561011","90","8"
"433","G01001909561012","010199561012","82","6"
"434","G01001909561021","010199561021","89","8"
"435","G01001909561022","010199561022","89","8"
"436","G01001909561023","010199561023","89","8"
"437","G01002100601011","010210601011","81","6"
"438","G01002100601012","010210601012","81","6"
"439","G01002100601013","010210601013","81","6"
"440","G01002100601014","010210601014","81","6"
"441","G01002100601031","010210601031","80","6"
"442","G01002100601032","010210601032","66","4"
"443","G01002100601041","010210601041","82","6"
"444","G01002100601042","010210601042","82","6"
"445","G01002100601043","010210601043","82","6"
"446","G01002100602001","010210602001","63","3"
"447","G01002100602002","010210602002","80","6"
"448","G01002100603001","010210603001","82","6"
"449","G01002100603002","010210603002","86","7"
"450","G01002100603003","010210603003","73","5"
"451","G01002100603004","010210603004","76","5"
"452","G01002100604011","010210604011","70","4"
"453","G01002100604012","010210604012","83","6"
"454","G01002100604013","010210604013","64","3"
"455","G01002100604031","010210604031","78","5"
"456","G01002100604032","010210604032","87","7"
"457","G01002100604041","010210604041","96","9"
"458","G01002100604042","010210604042","93","9"
"459","G01002100604043","010210604043","96","9"
"460","G01002100605001","010210605001","76","5"
"461","G01002100605002","010210605002","85","7"
"462","G01002100605003","010210605003","83","6"
"463","G01002100606001","010210606001","77","5"
"464","G01002100606002","010210606002","71","4"
"465","G01002100607011","010210607011","69","4"
"466","G01002100607012","010210607012","85","7"
"467","G01002100607021","010210607021","95","9"
"468","G01002100607022","010210607022","92","8"
"469","G01002309567001","010239567001","96","9"
"470","G01002309567002","010239567002","76","5"
"471","G01002309567003","010239567003","76","5"
"472","G01002309567004","010239567004","97","9"
"473","G01002309568001","010239568001","87","7"
"474","G01002309568002","010239568002","88","7"
"475","G01002309568003","010239568003","83","6"
"476","G01002309568004","010239568004","89","8"
"477","G01002309568005","010239568005","87","7"
"478","G01002309569001","010239569001","81","6"
"479","G01002309569002","010239569002","99","10"
"480","G01002309569003","010239569003","97","9"
"481","G01002309569004","010239569004","85","7"
"482","G01002309570001","010239570001","93","9"
"483","G01002309570002","010239570002","71","4"
"484","G01002509575001","010259575001","89","8"
"485","G01002509575002","010259575002","88","7"
"486","G01002509576011","010259576011","86","7"
"487","G01002509576031","010259576031","65","4"
"488","G01002509576032","010259576032","76","5"
"489","G01002509576041","010259576041","90","8"
"490","G01002509576042","010259576042","73","5"
"491","G01002509576043","010259576043","79","6"
"492","G01002509577001","010259577001","99","10"
"493","G01002509577002","010259577002","97","9"
"494","G01002509578001","010259578001","90","8"
"495","G01002509578002","010259578002","90","8"
"496","G01002509578003","010259578003","90","8"
"497","G01002509578004","010259578004","90","8"
"498","G01002509578005","010259578005","90","8"
"499","G01002509578006","010259578006","90","8"
"500","G01002509579011","010259579011","71","4"
"501","G01002509579012","010259579012","69","4"
"502","G01002509579013","010259579013","72","4"
"503","G01002509579021","010259579021","90","8"
"504","G01002509579022","010259579022","89","8"
"505","G01002509579023","010259579023","89","8"
"506","G01002509579024","010259579024","92","8"
"507","G01002509580031","010259580031","86","7"
"508","G01002509580032","010259580032","92","8"
"509","G01002709589001","010279589001","84","6"
"510","G01002709589002","010279589002","85","7"
"511","G01002709589003","010279589003","86","7"
"512","G01002709589004","010279589004","81","6"
"513","G01002709590001","010279590001","89","8"
"514","G01002709590002","010279590002","89","8"
"515","G01002709590003","010279590003","79","6"
"516","G01002709591001","010279591001","76","5"
"517","G01002709591002","010279591002","78","5"
"518","G01002709592001","010279592001","90","8"
"519","G01002709592002","010279592002","74","5"
"520","G01002909595001","010299595001","79","6"
"521","G01002909595002","010299595002","88","7"
"522","G01002909596001","010299596001","83","6"
"523","G01002909596002","010299596002","61","3"
"524","G01002909596003","010299596003","86","7"
"525","G01002909597001","010299597001","80","6"
"526","G01002909597002","010299597002","91","8"
"527","G01002909598001","010299598001","85","7"
"528","G01002909598002","010299598002","62","3"
"529","G01002909598003","010299598003","76","5"
"530","G01003100101001","010310101001","84","6"
"531","G01003100101002","010310101002","91","8"
"532","G01003100102001","010310102001","78","5"
"533","G01003100102002","010310102002","79","6"
"534","G01003100103001","010310103001","70","4"
"535","G01003100103002","010310103002","66","4"
"536","G01003100104001","010310104001","89","8"
"537","G01003100104002","010310104002","97","9"
"538","G01003100105001","010310105001","91","8"
"539","G01003100105002","010310105002","94","9"
"540","G01003100105003","010310105003","86","7"
"541","G01003100105004","010310105004","82","6"
"542","G01003100105005","010310105005","95","9"
"543","G01003100106001","010310106001","96","9"
"544","G01003100106002","010310106002","89","8"
"545","G01003100107001","010310107001","80","6"
"546","G01003100108001","010310108001","44","2"
"547","G01003100108002","010310108002","55","2"
"548","G01003100109001","010310109001","74","5"
"549","G01003100109002","010310109002","77","5"
"550","G01003100110001","010310110001","83","6"
"551","G01003100110002","010310110002","70","4"
"552","G01003100111001","010310111001","73","5"
"553","G01003100112031","010310112031","67","4"
"554","G01003100112032","010310112032","56","3"
"555","G01003100112033","010310112033","72","4"
"556","G01003100112041","010310112041","31","1"
"557","G01003100112042","010310112042","33","1"
"558","G01003100112051","010310112051","72","4"
"559","G01003100112052","010310112052","59","3"
"560","G01003100112061","010310112061","81","6"
"561","G01003100112062","010310112062","85","7"
"562","G01003100112063","010310112063","82","6"
"563","G01003100113001","010310113001","88","7"
"564","G01003100113002","010310113002","73","5"
"565","G01003100113003","010310113003","90","8"
"566","G01003300201001","010330201001","87","7"
"567","G01003300201002","010330201002","93","9"
"568","G01003300201003","010330201003","98","10"
"569","G01003300201004","010330201004","86","7"
"570","G01003300202001","010330202001","87","7"
"571","G01003300202002","010330202002","82","6"
"572","G01003300203001","010330203001","100","10"
"573","G01003300203002","010330203002","100","10"
"574","G01003300203003","010330203003","100","10"
"575","G01003300204001","010330204001","67","4"
"576","G01003300204002","010330204002","76","5"
"577","G01003300205001","010330205001","89","8"
"578","G01003300205002","010330205002","84","6"
"579","G01003300205003","010330205003","79","6"
"580","G01003300205004","010330205004","66","4"
"581","G01003300206001","010330206001","84","6"
"582","G01003300206002","010330206002","75","5"
"583","G01003300206003","010330206003","87","7"
"584","G01003300206004","010330206004","63","3"
"585","G01003300207031","010330207031","68","4"
"586","G01003300207032","010330207032","57","3"
"587","G01003300207033","010330207033","71","4"
"588","G01003300207034","010330207034","86","7"
"589","G01003300207041","010330207041","84","6"
"590","G01003300207042","010330207042","59","3"
"591","G01003300207043","010330207043","81","6"
"592","G01003300207044","010330207044","77","5"
"593","G01003300207051","010330207051","94","9"
"594","G01003300207061","010330207061","37","1"
"595","G01003300207062","010330207062","68","4"
"596","G01003300207063","010330207063","57","3"
"597","G01003300207064","010330207064","46","2"
"598","G01003300208011","010330208011","62","3"
"599","G01003300208012","010330208012","84","6"
"600","G01003300208013","010330208013","82","6"
"601","G01003300208021","010330208021","88","7"
"602","G01003300208022","010330208022","88","7"
"603","G01003300208023","010330208023","92","8"
"604","G01003300209011","010330209011","74","5"
"605","G01003300209012","010330209012","78","5"
"606","G01003300209013","010330209013","87","7"
"607","G01003300209021","010330209021","75","5"
"608","G01003300209022","010330209022","73","5"
"609","G01003300209023","010330209023","76","5"
"610","G01003300209024","010330209024","77","5"
"611","G01003300210001","010330210001","93","9"
"612","G01003300210002","010330210002","94","9"
"613","G01003300210003","010330210003","90","8"
"614","G01003300210004","010330210004","91","8"
"615","G01003509602001","010359602001","90","8"
"616","G01003509602002","010359602002","94","9"
"617","G01003509603001","010359603001","93","9"
"618","G01003509603002","010359603002","91","8"
"619","G01003509604001","010359604001","95","9"
"620","G01003509604002","010359604002","94","9"
"621","G01003509604003","010359604003","96","9"
"622","G01003509605001","010359605001","90","8"
"623","G01003509605002","010359605002","94","9"
"624","G01003509606001","010359606001","94","9"
"625","G01003509606002","010359606002","94","9"
"626","G01003509606003","010359606003","96","9"
"627","G01003709610001","010379610001","95","9"
"628","G01003709610002","010379610002","94","9"
"629","G01003709610003","010379610003","94","9"
"630","G01003709611001","010379611001","90","8"
"631","G01003709611002","010379611002","85","7"
"632","G01003709611003","010379611003","89","8"
"633","G01003709612001","010379612001","74","5"
"634","G01003709612002","010379612002","74","5"
"635","G01003709612003","010379612003","74","5"
"636","G01003709612004","010379612004","74","5"
"637","G01003909616001","010399616001","80","6"
"638","G01003909616002","010399616002","65","4"
"639","G01003909616003","010399616003","64","3"
"640","G01003909616004","010399616004","80","6"
"641","G01003909617001","010399617001","93","9"
"642","G01003909617002","010399617002","90","8"
"643","G01003909617003","010399617003","90","8"
"644","G01003909618001","010399618001","77","5"
"645","G01003909618002","010399618002","82","6"
"646","G01003909619001","010399619001","79","6"
"647","G01003909619002","010399619002","84","6"
"648","G01003909620001","010399620001","78","5"
"649","G01003909620002","010399620002","84","6"
"650","G01003909620003","010399620003","78","5"
"651","G01003909620004","010399620004","85","7"
"652","G01003909621001","010399621001","96","9"
"653","G01003909621002","010399621002","76","5"
"654","G01003909623001","010399623001","83","6"
"655","G01003909623002","010399623002","70","4"
"656","G01003909623003","010399623003","60","3"
"657","G01003909624001","010399624001","85","7"
"658","G01003909624002","010399624002","90","8"
"659","G01003909624003","010399624003","88","7"
"660","G01003909624004","010399624004","83","6"
"661","G01003909625001","010399625001","86","7"
"662","G01003909625002","010399625002","86","7"
"663","G01003909626001","010399626001","95","9"
"664","G01003909626002","010399626002","95","9"
"665","G01003909627001","010399627001","97","9"
"666","G01003909627002","010399627002","95","9"
"667","G01003909628001","010399628001","87","7"
"668","G01003909628002","010399628002","90","8"
"669","G01003909629001","010399629001","84","6"
"670","G01003909629002","010399629002","70","4"
"671","G01003909630001","010399630001","83","6"
"672","G01003909630002","010399630002","75","5"
"673","G01003909630003","010399630003","98","10"
"674","G01003909630004","010399630004","95","9"
"675","G01004109634001","010419634001","91","8"
"676","G01004109634002","010419634002","88","7"
"677","G01004109635001","010419635001","92","8"
"678","G01004109635002","010419635002","92","8"
"679","G01004109636001","010419636001","87","7"
"680","G01004109636002","010419636002","91","8"
"681","G01004109636003","010419636003","88","7"
"682","G01004109637001","010419637001","77","5"
"683","G01004109637002","010419637002","94","9"
"684","G01004109637003","010419637003","74","5"
"685","G01004109637004","010419637004","77","5"
"686","G01004109638001","010419638001","93","9"
"687","G01004109639001","010419639001","93","9"
"688","G01004309641001","010439641001","86","7"
"689","G01004309641002","010439641002","87","7"
"690","G01004309641003","010439641003","82","6"
"691","G01004309641004","010439641004","54","2"
"692","G01004309641005","010439641005","91","8"
"693","G01004309642011","010439642011","71","4"
"694","G01004309642012","010439642012","78","5"
"695","G01004309642013","010439642013","79","6"
